match_id,season,gameweek,home_team,away_team,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
9441,2024/25,3.0,as-monaco,rc-lens,3.0,1.5,0.0,1.5,0.0,73.63,257100000,3.0,1.5,0.0,1.5,0.0,72.84,82750000,0.5376,0.2571,0.2551,D
9442,2024/25,3.0,angers-sco,ogc-nice,0.0,0.0,1.5,0.0,1.5,0.0,0,0.5,1.0,1.5,1.0,1.5,73.28,89200000,0.2463,0.2976,0.5025,A
9443,2024/25,3.0,le-havre,aja-auxerre,1.5,1.5,2.0,1.5,2.0,0.0,0,1.5,1.0,1.5,1.0,1.5,0.0,0,0.361,0.3049,0.3802,H
9444,2024/25,3.0,stade-de-reims,stade-rennais,0.5,1.0,2.0,1.0,2.0,69.92,48600000,1.5,2.0,1.5,2.0,1.5,73.39,253175000,0.3425,0.2907,0.4167,H
9445,2024/25,3.0,lille-osc,paris-saint-germain,3.0,2.0,0.0,2.0,0.0,0.0,0,3.0,5.0,0.5,5.0,0.5,0.0,0,0.2457,0.2674,0.5319,A
9446,2024/25,4.0,saint-etienne,lille-osc,0.0,0.0,2.333,0.0,2.333,0.0,0,2.0,1.667,1.0,1.667,1.0,0.0,0,0.1996,0.2717,0.5714,H
9447,2024/25,4.0,olympique-de-marseille,ogc-nice,2.333,3.333,1.333,3.333,1.333,73.85,58850000,1.333,2.0,1.333,2.0,1.333,73.28,89200000,0.5682,0.2545,0.2227,H
9448,2024/25,4.0,aja-auxerre,as-monaco,1.0,1.0,2.0,1.0,2.0,0.0,0,2.333,1.333,0.333,1.333,0.333,73.63,257100000,0.2577,0.2571,0.5291,A
9449,2024/25,4.0,paris-saint-germain,stade-brestois,3.0,4.333,0.667,4.333,0.667,0.0,0,1.0,1.667,2.333,1.667,2.333,0.0,0,0.7812,0.1637,0.1028,H
9450,2024/25,4.0,stade-rennais,montpellier-hsc,1.0,1.667,1.667,1.667,1.667,73.39,253175000,0.333,0.667,3.333,0.667,3.333,0.0,0,0.6135,0.2381,0.1969,H
9451,2024/25,4.0,fc-nantes,stade-de-reims,2.333,1.667,0.333,1.667,0.333,69.58,54600000,1.333,1.333,1.667,1.333,1.667,69.92,48600000,0.4184,0.2959,0.3333,A
9452,2024/25,4.0,rc-strasbourg,angers-sco,1.333,2.333,2.0,2.333,2.0,69.0,72100000,0.0,0.333,2.333,0.333,2.333,0.0,0,0.5848,0.2625,0.1992,D
9453,2024/25,4.0,toulouse-fc,le-havre,0.667,0.667,1.333,0.667,1.333,68.76,60900000,2.0,2.0,1.667,2.0,1.667,0.0,0,0.5464,0.2703,0.2283,H
9454,2024/25,4.0,rc-lens,olympique-lyonnais,2.333,1.333,0.333,1.333,0.333,72.84,82750000,1.0,1.333,2.667,1.333,2.667,72.74,89500000,0.5405,0.2646,0.2427,D
9455,2024/25,5.0,ogc-nice,saint-etienne,1.0,1.5,1.5,1.5,1.5,73.28,89200000,0.75,0.25,1.75,0.25,1.75,0.0,0,0.6494,0.2381,0.1562,H
9456,2024/25,5.0,lille-osc,rc-strasbourg,1.5,1.25,1.0,1.25,1.0,0.0,0,1.25,2.0,1.75,2.0,1.75,69.0,72100000,0.5814,0.2564,0.2088,D
9457,2024/25,5.0,stade-rennais,rc-lens,1.5,2.0,1.25,2.0,1.25,73.39,253175000,2.0,1.0,0.25,1.0,0.25,72.84,82750000,0.4149,0.3003,0.3333,D
9458,2024/25,5.0,stade-de-reims,paris-saint-germain,1.75,1.5,1.5,1.5,1.5,69.92,48600000,3.0,4.0,0.75,4.0,0.75,0.0,0,0.1517,0.2033,0.6944,D
9459,2024/25,5.0,as-monaco,le-havre,2.5,1.75,0.25,1.75,0.25,73.63,257100000,1.5,1.5,1.75,1.5,1.75,0.0,0,0.7299,0.1949,0.1252,H
9460,2024/25,5.0,angers-sco,fc-nantes,0.25,0.5,2.0,0.5,2.0,0.0,0,1.75,1.5,0.75,1.5,0.75,69.58,54600000,0.3125,0.3106,0.4237,D
9461,2024/25,5.0,stade-brestois,toulouse-fc,0.75,1.5,2.5,1.5,2.5,0.0,0,1.25,1.0,1.0,1.0,1.0,68.76,60900000,0.4673,0.2849,0.2959,H
9462,2024/25,5.0,montpellier-hsc,aja-auxerre,0.25,0.5,3.25,0.5,3.25,0.0,0,0.75,0.75,2.25,0.75,2.25,0.0,0,0.431,0.289,0.3268,H
9463,2024/25,5.0,olympique-lyonnais,olympique-de-marseille,1.0,1.0,2.0,1.0,2.0,72.74,89500000,2.5,3.0,1.0,3.0,1.0,73.85,58850000,0.3356,0.2632,0.4505,A
9464,2024/25,6.0,aja-auxerre,stade-brestois,0.6,1.0,2.4,1.0,2.4,0.0,0,1.2,1.6,2.0,1.6,2.0,0.0,0,0.3571,0.2967,0.3891,H
9465,2024/25,6.0,paris-saint-germain,stade-rennais,2.6,3.4,0.8,3.4,0.8,0.0,0,1.4,1.8,1.2,1.8,1.2,73.39,253175000,0.7246,0.1953,0.1245,H
9466,2024/25,6.0,rc-lens,ogc-nice,1.8,1.0,0.4,1.0,0.4,72.84,82750000,1.4,2.8,1.2,2.8,1.2,73.28,89200000,0.4878,0.2899,0.2688,D
9467,2024/25,6.0,le-havre,lille-osc,1.2,1.4,2.0,1.4,2.0,0.0,0,1.4,1.6,1.4,1.6,1.4,0.0,0,0.2198,0.2695,0.5556,A
9468,2024/25,6.0,as-monaco,montpellier-hsc,2.6,2.0,0.4,2.0,0.4,73.63,257100000,0.8,1.0,3.0,1.0,3.0,0.0,0,0.7463,0.1789,0.1217,H
