match_id,season,gameweek,status,home_team,away_team,home_elo,away_elo,elo_diff,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
64,1999/00,,finished,olympique-de-marseille,rc-lens,1484.3,1458.9,25.399999999999864,0.8,0.8,1.6,0.8,1.6,73.85,58850000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,A
65,1999/00,,finished,paris-saint-germain,olympique-lyonnais,1520.6,1604.6,-84.0,2.4,2.0,0.4,2.0,0.4,0.0,0,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,D
66,1999/00,,finished,stade-rennais,rc-strasbourg,1452.3,1503.8,-51.5,2.4,2.6,1.8,2.6,1.8,73.39,253175000,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
67,1999/00,,finished,aj-auxerre,olympique-lyonnais,1506.0,1600.8,-94.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,H
68,1999/00,,finished,as-monaco,stade-rennais,1562.2,1470.6,91.60000000000014,1.6,1.6,1.4,1.6,1.4,73.63,257100000,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,H
69,1999/00,,finished,rc-strasbourg,fc-metz,1485.4,1467.2,18.200000000000045,1.4,1.4,1.6,1.4,1.6,69.0,72100000,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,D
70,1999/00,,finished,fc-metz,as-monaco,1468.1,1574.0,-105.90000000000009,0.0,0.0,0.0,0.0,0.0,67.29,41450000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,D
71,1999/00,,finished,paris-saint-germain,rc-strasbourg,1524.4,1484.6,39.80000000000018,2.4,2.0,0.4,2.0,0.4,0.0,0,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
72,1999/00,,finished,stade-rennais,fc-nantes,1458.7,1470.1,-11.399999999999864,2.4,2.6,1.8,2.6,1.8,73.39,253175000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,D
73,1999/00,,finished,as-monaco,paris-saint-germain,1569.3,1538.5,30.799999999999955,1.6,1.6,1.4,1.6,1.4,73.63,257100000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,H
74,1999/00,,finished,olympique-de-marseille,stade-rennais,1467.2,1459.3,7.900000000000091,0.8,0.8,1.6,0.8,1.6,73.85,58850000,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,D
75,1999/00,,finished,fc-nantes,fc-metz,1469.6,1472.8,-3.2000000000000455,0.8,1.0,1.4,1.0,1.4,69.58,54600000,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,A
76,1999/00,,finished,rc-strasbourg,olympique-lyonnais,1470.4,1580.5,-110.09999999999991,1.4,1.4,1.6,1.4,1.6,69.0,72100000,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,H
77,1999/00,,finished,rc-lens,aj-auxerre,1476.0,1526.2,-50.200000000000045,1.6,1.6,1.6,1.6,1.6,72.84,82750000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,H
78,1999/00,,finished,paris-saint-germain,fc-nantes,1524.0,1453.7,70.29999999999995,2.4,2.0,0.4,2.0,0.4,0.0,0,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,D
79,1999/00,,finished,olympique-lyonnais,as-monaco,1559.6,1583.9,-24.300000000000182,2.0,2.0,1.4,2.0,1.4,72.74,89500000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,H
80,1999/00,,finished,fc-metz,olympique-de-marseille,1488.7,1466.8,21.90000000000009,0.0,0.0,0.0,0.0,0.0,67.29,41450000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,H
81,1999/00,,finished,olympique-de-marseille,paris-saint-germain,1451.8,1520.8,-69.0,0.8,0.8,1.6,0.8,1.6,73.85,58850000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,H
